SKU,ID_Producto,Nombre_Producto,Categoria,Familia,Etapa_Ciclo_Vida,Fecha_Lanzamiento,Fecha_Fin_Proyectada,Ventas_Ultimos_12M_USD,Ventas_Pronosticadas_12M_USD,Variacion_YoY_Pct,Margen_Bruto_Pct,Inventario_Actual_Unid,Rotacion_Inventario,Volumen_Clientes_Unicos,Cuota_Mercado_Pct,Proyectos_NPI,Riesgos_Alertas,Estrategia_Recomendada
SKU001,PRD001,SmartHub Pro,Electrónicos,Hubs,Madurez,15/03/2022,31/12/2026,285000,270000,-5.3,42,8500,3.8,4200,18.5,Lanzado Q1,Declive leve (-5%),Mantener
SKU002,PRD002,UltraCharge 65W,Electrónicos,Cargadores,Crecimiento,20/06/2023,30/06/2028,420000,580000,38.1,38,12000,4.5,5800,22,En Desarrollo,Crecimiento fuerte,Acelerar marketing
SKU003,PRD003,Basic Mouse Óptico,Periféricos,Ratones,Madurez,10/01/2020,30/09/2025,95000,72000,-24.2,28,4500,2.1,2800,9.2,Ninguno,"Declive >20%, bajo margen",Candidato a eliminar
SKU004,PRD004,ErgoKeyboard Pro,Periféricos,Teclados,Crecimiento,01/02/2023,31/12/2027,310000,420000,35.5,45,6800,5.1,5100,16.8,Lanzado Q2,Alta rotación,Expandir canales
SKU005,PRD005,Webcam HD 1080p,Electrónicos,Cámaras,Madurez,11/11/2021,31/03/2026,180000,155000,-13.9,33,7200,2.8,3900,12.4,Ninguno,Obsolescencia tecnológica,Phase-out 2026
SKU006,PRD006,PowerBank 20000mAh,Electrónicos,Baterías,Declive,05/08/2019,31/12/2024,65000,30000,-53.8,22,11000,1.4,2100,6.1,Ninguno,Ventas cayendo >50%,Eliminar Q4 2025
SKU007,PRD007,"Monitor 27"" 4K",Periféricos,Monitores,Crecimiento,10/09/2023,30/09/2028,580000,720000,24.1,48,4200,6.2,6800,21.3,Lanzado Q3,Alta demanda B2B,Inversión en stock
SKU008,PRD008,USB-C Hub 7en1,Electrónicos,Hubs,Madurez,18/05/2022,31/05/2027,195000,180000,-7.7,36,5800,3.9,4600,14.2,Ninguno,"Estable, bajo riesgo",Mantener
SKU009,PRD009,Cable HDMI 2.1,Accesorios,Cables,Declive,22/04/2018,30/06/2024,42000,18000,-57.1,18,15000,0.9,1800,4.8,Ninguno,Comoditizado,Eliminar 2025
SKU010,PRD010,Wireless Earbuds X1,Electrónicos,Auriculares,Introducción,15/01/2024,31/01/2029,85000,320000,276.5,52,3000,8.1,4200,19.7,Lanzado Q1,NPI estrella,Prioridad máxima
SKU011,PRD011,Stand Laptop Ajustable,Accesorios,Soportes,Madurez,30/07/2021,31/07/2026,135000,128000,-5.2,40,6200,3.5,3800,11.5,Ninguno,Estable,Mantener
SKU012,PRD012,Teclado Gaming RGB,Periféricos,Teclados,Crecimiento,01/11/2023,30/11/2028,280000,380000,35.7,44,5100,5.8,5900,17.9,Lanzado Q4,Gaming en auge,Expandir e-commerce
SKU013,PRD013,Mouse Inalámbrico Ergo,Periféricos,Ratones,Madurez,15/09/2020,31/12/2025,110000,95000,-13.6,31,4900,2.6,3200,10.1,Ninguno,Declive moderado,Phase-out 2026
SKU014,PRD014,Adaptador USB-C a HDMI,Electrónicos,Adaptadores,Crecimiento,05/04/2023,30/04/2027,165000,210000,27.3,37,7100,4.2,4400,13.8,En Desarrollo,Alta compatibilidad,Lanzar Q2
SKU015,PRD015,Soporte Monitor Dual,Accesorios,Soportes,Madurez,20/02/2022,28/02/2026,98000,92000,-6.1,39,3800,3.2,2900,9.8,Ninguno,Estable,Mantener
SKU016,PRD016,DockStation Thunderbolt,Electrónicos,Hubs,Crecimiento,12/08/2023,31/08/2028,420000,580000,38.1,50,2800,7.1,5100,23.5,Lanzado Q3,Premium B2B,Inversión fuerte
SKU017,PRD017,Cable USB-C 100W,Accesorios,Cables,Madurez,01/10/2021,31/10/2026,75000,68000,-9.3,25,9200,2.1,3500,8.4,Ninguno,Bajo margen,Candidato a racionalizar
SKU018,PRD018,Webcam 4K Pro,Electrónicos,Cámaras,Introducción,01/03/2024,31/03/2029,62000,280000,351.6,55,1800,9.2,3800,20.1,Lanzado Q1,NPI premium,Prioridad alta
SKU019,PRD019,Ratón Vertical Ergo,Periféricos,Ratones,Crecimiento,15/05/2023,31/05/2027,185000,240000,29.7,41,5400,4.8,4200,15.6,Lanzado Q2,Salud laboral,Expandir B2B
SKU020,PRD020,Hub USB 4 puertos,Electrónicos,Hubs,Declive,10/12/2019,30/09/2024,38000,15000,-60.5,19,8800,1.1,1600,5.2,Ninguno,Obsolescencia,Eliminar Q3 2025
SKU021,PRD021,Teclado Compacto 60%,Periféricos,Teclados,Crecimiento,20/07/2023,31/07/2028,220000,310000,40.9,43,4600,5.5,5200,18.2,Lanzado Q3,Tendencia minimalista,Acelerar
SKU022,PRD022,"Monitor Curvo 34""",Periféricos,Monitores,Madurez,25/01/2022,31/01/2027,380000,360000,-5.3,46,3100,4.9,6100,19.8,Ninguno,Cash cow,Mantener
SKU023,PRD023,Auriculares Noise-Cancelling,Electrónicos,Auriculares,Madurez,18/04/2021,30/04/2026,260000,240000,-7.7,47,4200,3.8,5800,17.5,Ninguno,Estable,Mantener
SKU024,PRD024,PowerStrip USB,Electrónicos,Accesorios,Declive,05/06/2020,30/06/2025,52000,22000,-57.7,20,7200,1.5,1900,6.3,Ninguno,Bajo valor,Eliminar 2025
SKU025,PRD025,SSD Externo 1TB,Electrónicos,Almacenamiento,Crecimiento,01/09/2023,30/09/2028,310000,420000,35.5,44,5800,5.3,6700,21,Lanzado Q3,Alta demanda,Inversión
SKU026,PRD026,Adaptador Ethernet USB,Electrónicos,Adaptadores,Madurez,11/11/2022,30/11/2026,89000,82000,-7.9,32,6100,2.9,3300,10.5,Ninguno,Estable,Mantener
SKU027,PRD027,Mouse Pad RGB,Accesorios,Gaming,Crecimiento,01/12/2023,31/12/2028,135000,195000,44.4,38,7200,4.1,4800,14.8,Lanzado Q4,Gaming,Expandir
SKU028,PRD028,Hub USB-C 10en1,Electrónicos,Hubs,Crecimiento,15/02/2024,28/02/2029,98000,280000,185.7,49,2200,7.8,4100,22.3,Lanzado Q1,NPI premium,Prioridad
SKU029,PRD029,Cable Lightning 2m,Accesorios,Cables,Declive,20/03/2019,31/12/2024,48000,12000,-75,16,9800,0.8,1400,3.9,Ninguno,Apple phase-out,Eliminar Q4
SKU030,PRD030,Teclado Mecánico RGB,Periféricos,Teclados,Madurez,08/08/2021,31/08/2026,295000,275000,-6.8,45,4900,4.2,5900,18.1,Ninguno,Cash cow,Mantener
SKU031,PRD031,"Monitor 24"" FHD",Periféricos,Monitores,Madurez,10/10/2020,31/10/2025,145000,125000,-13.8,35,5100,2.7,4200,11.2,Ninguno,Declive,Phase-out 2026
SKU032,PRD032,Webcam Conferencia,Electrónicos,Cámaras,Crecimiento,22/03/2023,31/03/2027,210000,280000,33.3,42,3800,5.6,5100,16.4,Lanzado Q1,B2B remoto,Expandir
SKU033,PRD033,Ratón Silencioso,Periféricos,Ratones,Madurez,15/06/2022,30/06/2026,98000,92000,-6.1,34,5400,3.1,3600,10.8,Ninguno,Estable,Mantener
SKU034,PRD034,PowerBank Solar,Electrónicos,Baterías,Introducción,01/04/2024,30/04/2029,45000,180000,300,48,1500,8.5,3200,17.9,Lanzado Q2,NPI eco,Prioridad media
SKU035,PRD035,Soporte Celular Auto,Accesorios,Soportes,Declive,28/02/2020,28/02/2025,31000,12000,-61.3,21,6800,1.2,1500,5.5,Ninguno,Bajo volumen,Eliminar 2025
SKU036,PRD036,Hub USB 3.0 Básico,Electrónicos,Hubs,Declive,11/11/2018,31/08/2024,28000,9000,-67.9,17,9200,0.7,1200,4.1,Ninguno,Comoditizado,Eliminar Q3
SKU037,PRD037,"Monitor 32"" QHD",Periféricos,Monitores,Crecimiento,05/10/2023,31/10/2028,420000,560000,33.3,47,3600,6.1,6400,20.5,Lanzado Q4,Alta resolución,Inversión
SKU038,PRD038,Auriculares Deportivos,Electrónicos,Auriculares,Crecimiento,18/05/2023,31/05/2027,195000,260000,33.3,40,5100,4.7,4800,15.2,Lanzado Q2,Fitness,Expandir
SKU039,PRD039,Cable MicroUSB,Accesorios,Cables,Declive,01/09/2017,30/06/2024,15000,3000,-80,12,12000,0.4,800,2.1,Ninguno,Obsoleto,Eliminar ya
SKU040,PRD040,Teclado Inalámbrico,Periféricos,Teclados,Madurez,12/12/2021,31/12/2026,175000,165000,-5.7,39,5800,3.4,4300,12.8,Ninguno,Estable,Mantener
SKU041,PRD041,SSD Interno 500GB,Electrónicos,Almacenamiento,Madurez,04/04/2022,30/04/2027,260000,240000,-7.7,43,4700,4.1,5900,18.9,Ninguno,Cash cow,Mantener
SKU042,PRD042,Adaptador Bluetooth,Accesorios,Adaptadores,Crecimiento,15/11/2023,30/11/2028,98000,145000,48,36,6200,3.8,3900,13.5,Lanzado Q4,Conectividad,Acelerar
SKU043,PRD043,Mouse Gamer 16000DPI,Periféricos,Ratones,Crecimiento,20/01/2024,31/01/2029,72000,220000,205.6,46,2100,7.2,4200,19.1,Lanzado Q1,NPI gaming,Prioridad
SKU044,PRD044,Hub Ethernet + USB,Electrónicos,Hubs,Madurez,07/07/2022,31/07/2026,115000,108000,-6.1,37,5400,3,3500,11,Ninguno,Estable,Mantener
SKU045,PRD045,PowerBank 10000mAh,Electrónicos,Baterías,Declive,15/03/2020,31/03/2025,68000,28000,-58.8,23,8900,1.6,2200,7.2,Ninguno,Declive,Eliminar 2025
SKU046,PRD046,"Monitor Portátil 15""",Periféricos,Monitores,Introducción,10/02/2024,28/02/2029,58000,210000,262.1,51,1600,8.3,3600,18.7,Lanzado Q1,NPI móvil,Prioridad
SKU047,PRD047,Teclado Numérico,Periféricos,Teclados,Madurez,09/09/2021,30/09/2025,42000,35000,-16.7,29,3800,2.2,2100,8.1,Ninguno,Declive,Phase-out 2025
SKU048,PRD048,Webcam Básica 720p,Electrónicos,Cámaras,Declive,05/05/2019,31/12/2024,25000,8000,-68,19,7100,0.9,1300,4.5,Ninguno,Baja calidad,Eliminar Q4
SKU049,PRD049,Soporte Tablet,Accesorios,Soportes,Madurez,20/08/2022,31/08/2026,78000,74000,-5.1,35,5100,3.1,3200,10.2,Ninguno,Estable,Mantener
SKU050,PRD050,DockStation USB-C,Electrónicos,Hubs,Crecimiento,30/06/2023,30/06/2028,380000,510000,34.2,49,3200,6.5,5800,22.8,Lanzado Q2,B2B premium,Inversión
SKU051,PRD051,Cable USB-A a C,Accesorios,Cables,Madurez,25/11/2021,30/11/2026,65000,60000,-7.7,24,8800,2,3400,8,Ninguno,Estable,Mantener
SKU052,PRD052,Mouse Inalámbrico Pro,Periféricos,Ratones,Crecimiento,18/10/2023,31/10/2027,185000,240000,29.7,42,4800,5,5100,16.1,Lanzado Q4,Productividad,Expandir
SKU053,PRD053,"Monitor 49"" UltraWide",Periféricos,Monitores,Madurez,03/03/2022,31/03/2027,520000,490000,-5.8,48,2800,5.2,6200,20.9,Ninguno,Cash cow,Mantener
SKU054,PRD054,Auriculares TWS,Electrónicos,Auriculares,Introducción,15/03/2024,31/03/2029,68000,260000,282.4,50,1900,7.9,4000,19.5,Lanzado Q1,NPI audio,Prioridad
SKU055,PRD055,Hub USB Básico,Electrónicos,Hubs,Declive,07/07/2018,30/09/2024,19000,6000,-68.4,15,10200,0.6,900,3.2,Ninguno,Obsoleto,Eliminar Q3
SKU056,PRD056,Teclado Plegable,Periféricos,Teclados,Crecimiento,20/12/2023,31/12/2028,98000,155000,58.2,40,4100,4.3,3700,14,Lanzado Q4,Movilidad,Acelerar
SKU057,PRD057,SSD Externo 2TB,Electrónicos,Almacenamiento,Crecimiento,08/08/2023,31/08/2028,420000,580000,38.1,46,5100,5.8,6800,21.5,Lanzado Q3,Alta capacidad,Inversión
SKU058,PRD058,Adaptador WiFi USB,Electrónicos,Adaptadores,Madurez,05/05/2022,31/05/2026,85000,78000,-8.2,33,5900,2.8,3600,10.9,Ninguno,Estable,Mantener
SKU059,PRD059,Mouse Vertical Pro,Periféricos,Ratones,Crecimiento,05/01/2024,31/01/2029,62000,180000,190.3,44,2000,6.9,3900,17.8,Lanzado Q1,Salud,Prioridad
SKU060,PRD060,PowerBank 30000mAh,Electrónicos,Baterías,Madurez,06/06/2021,30/06/2026,145000,135000,-6.9,36,6200,3.3,4100,12.5,Ninguno,Estable,Mantener
SKU061,PRD061,"Monitor Táctil 24""",Periféricos,Monitores,Introducción,10/04/2024,30/04/2029,72000,250000,247.2,53,1400,8.8,3500,19.2,Lanzado Q2,NPI interactivo,Prioridad
SKU062,PRD062,Teclado Silencioso,Periféricos,Teclados,Madurez,15/09/2022,30/09/2026,115000,108000,-6.1,38,5400,3,3800,11.5,Ninguno,Estable,Mantener
SKU063,PRD063,Webcam IA,Electrónicos,Cámaras,Crecimiento,01/07/2023,31/07/2027,210000,290000,38.1,45,3500,5.9,5200,17,Lanzado Q3,Inteligencia,Expandir
SKU064,PRD064,Ratón Trackball,Periféricos,Ratones,Declive,20/04/2020,30/04/2025,38000,15000,-60.5,26,4800,1.3,1800,6.8,Ninguno,Nicho pequeño,Eliminar 2025
SKU065,PRD065,Soporte Monitor Simple,Accesorios,Soportes,Madurez,25/10/2021,31/10/2025,52000,45000,-13.5,30,5100,2.3,2600,8.5,Ninguno,Declive,Phase-out 2025
SKU066,PRD066,Hub USB-C PD,Electrónicos,Hubs,Crecimiento,10/11/2023,30/11/2028,295000,400000,35.6,47,4100,5.7,5900,20.1,Lanzado Q4,Carga rápida,Inversión
SKU067,PRD067,Cable DisplayPort,Accesorios,Cables,Madurez,14/02/2022,28/02/2026,68000,62000,-8.8,27,7200,2.2,3300,9.1,Ninguno,Estable,Mantener
SKU068,PRD068,Mouse Gamer Pro,Periféricos,Ratones,Crecimiento,20/09/2023,30/09/2027,185000,250000,35.1,43,4600,4.9,5100,16.5,Lanzado Q3,eSports,Expandir
SKU069,PRD069,"Monitor 27"" IPS",Periféricos,Monitores,Madurez,01/12/2021,31/12/2026,310000,290000,-6.5,44,4200,4.3,5800,18.7,Ninguno,Cash cow,Mantener
SKU070,PRD070,Auriculares Gaming,Electrónicos,Auriculares,Crecimiento,15/06/2023,30/06/2028,220000,300000,36.4,41,5000,4.8,5300,17.2,Lanzado Q2,Gaming,Acelerar
SKU071,PRD071,PowerBank Mini,Electrónicos,Baterías,Declive,11/11/2019,31/12/2024,42000,15000,-64.3,20,7800,1.1,1700,5.8,Ninguno,Pequeño mercado,Eliminar Q4
SKU072,PRD072,Teclado Ergonómico,Periféricos,Teclados,Madurez,04/04/2022,30/04/2026,135000,128000,-5.2,40,5200,3.4,3900,12.1,Ninguno,Estable,Mantener
SKU073,PRD073,SSD NVMe 1TB,Electrónicos,Almacenamiento,Crecimiento,01/10/2023,31/10/2028,380000,520000,36.8,48,4800,6,6500,22,Lanzado Q4,Velocidad,Inversión
SKU074,PRD074,Adaptador M.2 a USB,Electrónicos,Adaptadores,Introducción,05/03/2024,31/03/2029,48000,160000,233.3,45,1300,7.5,3400,18.5,Lanzado Q1,NPI técnico,Prioridad media
SKU075,PRD075,Mouse Inalámbrico Básico,Periféricos,Ratones,Declive,08/08/2020,31/08/2025,35000,12000,-65.7,22,6800,1.2,1600,5.9,Ninguno,Bajo valor,Eliminar 2025
SKU076,PRD076,Hub USB 2.0,Electrónicos,Hubs,Declive,05/05/2017,30/06/2024,12000,3000,-75,13,9800,0.5,700,2.5,Ninguno,Obsoleto,Eliminar ya
SKU077,PRD077,"Monitor 22"" FHD",Periféricos,Monitores,Declive,09/09/2019,31/12/2024,58000,22000,-62.1,28,5100,1.5,2400,7.8,Ninguno,Declive,Eliminar Q4
SKU078,PRD078,Webcam 360°,Electrónicos,Cámaras,Crecimiento,12/12/2023,31/12/2028,165000,230000,39.4,43,3700,5.4,4800,16,Lanzado Q4,Conferencias,Expandir
SKU079,PRD079,Soporte Laptop Ergo,Accesorios,Soportes,Madurez,20/07/2022,31/07/2026,89000,84000,-5.6,37,4800,3.2,3500,10.8,Ninguno,Estable,Mantener
SKU080,PRD080,DockStation Pro,Electrónicos,Hubs,Crecimiento,25/08/2023,31/08/2028,510000,690000,35.3,51,3000,6.8,6100,23.9,Lanzado Q3,B2B enterprise,Inversión fuerte
SKU081,PRD081,Cable Thunderbolt 4,Accesorios,Cables,Crecimiento,05/11/2023,30/11/2027,135000,195000,44.4,42,4200,4.1,4600,15.5,Lanzado Q4,Alta velocidad,Acelerar
SKU082,PRD082,Mouse Láser Pro,Periféricos,Ratones,Madurez,15/03/2021,31/03/2026,175000,165000,-5.7,39,5500,3.5,4300,13,Ninguno,Estable,Mantener
SKU083,PRD083,"Monitor OLED 32""",Periféricos,Monitores,Introducción,01/02/2024,28/02/2029,98000,380000,287.8,55,1200,9.1,4100,21.2,Lanzado Q1,NPI premium,Prioridad alta
SKU084,PRD084,Auriculares ANC Pro,Electrónicos,Auriculares,Crecimiento,10/09/2023,30/09/2028,295000,400000,35.6,49,4600,5.5,5900,19.8,Lanzado Q3,Audio premium,Inversión
SKU085,PRD085,PowerBank 50000mAh,Electrónicos,Baterías,Declive,20/01/2020,31/01/2025,72000,28000,-61.1,25,7800,1.4,2300,7.5,Ninguno,Volumen bajo,Eliminar 2025
SKU086,PRD086,Teclado Gaming Mini,Periféricos,Teclados,Crecimiento,15/01/2024,31/01/2029,68000,210000,208.8,45,1900,7.3,4000,18.5,Lanzado Q1,NPI compacto,Prioridad
SKU087,PRD087,SSD Externo Rugged,Electrónicos,Almacenamiento,Crecimiento,07/07/2023,31/07/2027,210000,280000,33.3,47,3800,5.6,5100,17.8,Lanzado Q3,Outdoor,Expandir
SKU088,PRD088,Adaptador HDMI a VGA,Electrónicos,Adaptadores,Declive,10/10/2018,30/09/2024,28000,8000,-71.4,18,8200,0.8,1100,3.8,Ninguno,Legacy,Eliminar Q3
SKU089,PRD089,Mouse Inalámbrico Ergo,Periféricos,Ratones,Madurez,25/05/2022,31/05/2026,115000,108000,-6.1,36,5200,3.1,3700,11.2,Ninguno,Estable,Mantener
SKU090,PRD090,Hub USB-C Travel,Electrónicos,Hubs,Crecimiento,01/12/2023,31/12/2028,98000,155000,58.2,41,3600,4.5,4200,15.9,Lanzado Q4,Viajeros,Acelerar
SKU091,PRD091,Cable USB-C a Lightning,Accesorios,Cables,Madurez,15/08/2021,31/08/2026,85000,78000,-8.2,29,7100,2.5,3600,9.5,Ninguno,Estable,Mantener
SKU092,PRD092,"Monitor 34"" Curvo",Periféricos,Monitores,Madurez,06/06/2022,30/06/2027,420000,395000,-6,46,3500,4.7,6000,20.1,Ninguno,Cash cow,Mantener
SKU093,PRD093,Webcam Privacy,Electrónicos,Cámaras,Crecimiento,20/10/2023,31/10/2027,165000,220000,33.3,42,3900,5.2,4900,16.2,Lanzado Q4,Seguridad,Expandir
SKU094,PRD094,Ratón Silencioso Pro,Periféricos,Ratones,Madurez,11/11/2021,30/11/2026,135000,128000,-5.2,38,5400,3.3,4000,12.3,Ninguno,Estable,Mantener
SKU095,PRD095,Soporte Celular MagSafe,Accesorios,Soportes,Introducción,20/03/2024,31/03/2029,52000,190000,265.4,48,1500,8,3500,18,Lanzado Q1,NPI Apple,Prioridad
SKU096,PRD096,Hub USB 3.2 Gen2,Electrónicos,Hubs,Crecimiento,05/09/2023,30/09/2028,210000,290000,38.1,45,3700,5.7,5200,17.5,Lanzado Q3,Velocidad,Inversión
SKU097,PRD097,Cable Ethernet Cat8,Accesorios,Cables,Crecimiento,20/11/2023,30/11/2027,98000,145000,48,35,5100,3.9,4100,14.2,Lanzado Q4,Redes,Acelerar
SKU098,PRD098,Mouse Gamer RGB,Periféricos,Ratones,Crecimiento,05/02/2024,28/02/2029,72000,220000,205.6,44,2000,7.1,4200,19,Lanzado Q1,NPI gaming,Prioridad
SKU099,PRD099,"Monitor 28"" 4K",Periféricos,Monitores,Madurez,10/01/2022,31/01/2027,380000,360000,-5.3,47,3200,5,5900,19.5,Ninguno,Cash cow,Mantener
SKU100,PRD100,PowerBank GaN 65W,Electrónicos,Baterías,Crecimiento,15/12/2023,31/12/2028,185000,260000,40.5,43,4500,4.8,5100,16.8,Lanzado Q4,Carga rápida,Expandir
